"idx","num_of_columns","columns","wlp","is_comp","b_columns","s22_max"
70,10,"1 2 4 8 16 15 19 21 25 30","0 10 16 0 0 5 0 0",FALSE,"22 9 3 6 10 18 12 9 13 5",44
120,11,"1 2 4 8 16 31 7 11 21 25 13","0 25 0 27 0 10 0 1 0",FALSE,"14 20 18 6 3 5 27 17 9 10 19",48
121,11,"1 2 4 8 16 31 7 11 21 13 14","0 26 0 24 0 13 0 0 0",FALSE,"22 17 25 22 3 5 27 19 15 20 18",48
187,12,"1 2 4 8 16 31 7 11 21 25 13 14","0 38 0 52 0 33 0 4 0 0",FALSE,"26 20 24 18 10 12 17 23 9 15 19 19",54
278,13,"1 2 4 8 16 31 7 11 21 25 13 14 19","0 55 0 96 0 87 0 16 0 1 0",FALSE,"26 20 18 22 6 3 26 23 15 5 17 22 9",56
391,14,"1 2 4 8 16 31 7 11 21 25 13 14 19 22","0 77 0 168 0 203 0 56 0 7 0 0",FALSE,"26 24 24 18 10 3 26 23 9 3 17 18 15 12",46
520,15,"1 2 4 8 16 31 7 11 21 25 13 14 19 22 26","0 105 0 280 0 435 0 168 0 35 0 0 0",FALSE,"28 28 24 20 12 3 27 23 9 5 17 18 15 10 6",0
661,16,"10 12 17 18 19 20 21 22 23 24 25 26 27 28 29 30","23 60 89 141 198 193 146 98 51 18 5 1 0",TRUE,"2 2 1 13 3 11 5 6 7 8 6 5 4 3 13 1",71
516,17,"9 10 11 12 13 14 18 20 22 24 25 26 27 28 29 30 31","18 42 57 84 104 89 62 36 14 4 1 0",TRUE,"6 5 4 4 5 1 2 3 7 8 8 15 8 15 8 15 8",85
382,18,"9 10 12 13 14 15 17 18 20 21 22 23 25 26 28 29 30 31","14 23 24 56 76 39 8 8 6 1 0",TRUE,"1 1 7 5 5 7 2 1 4 6 6 7 2 1 4 5 6 4",116
268,19,"9 10 12 13 14 15 17 18 20 21 22 23 25 26 27 28 29 30 31","11 16 14 30 36 15 2 2 1 0",TRUE,"2 1 4 5 5 7 2 1 4 6 6 7 1 2 3 4 5 6 7",120
178,20,"5 6 9 10 11 12 13 14 20 21 22 23 24 25 26 27 28 29 30 31","9 11 7 15 15 4 1 1 0",TRUE,"2 1 1 2 3 3 2 1 4 4 4 4 8 8 8 8 15 15 15 15",122
114,21,"9 10 11 12 13 14 15 17 18 19 20 21 22 23 25 26 27 28 29 30 31","8 7 0 7 8 0 0 1",TRUE,"1 2 3 4 5 6 7 1 2 3 4 5 6 7 1 2 3 4 5 6 7",126
55,22,"3 5 6 7 9 10 11 12 13 14 20 21 22 23 24 25 26 27 28 29 30 31","4 3 3 4 0 0 1",TRUE,"1 1 2 8 1 2 4 4 2 1 4 4 4 4 8 8 8 8 15 15 15 15",123
